id,name_hi,name_en,category,state,district,lat,lon,gps_precision,year,significance,map_pin_id,verify,verify_note,sources
niyamgiri,नियमगिरि पर्वत,Niyamgiri Hills,dharmik,ओडिशा,रायगड़ा/कलाहांडी,19.62,83.42,region-level,,डोंगरिया कोंधों का आस्था-केंद्र (भगवान नियम राजा का निवास); खनन-विरोधी आंदोलन (2010s) का प्रतीक।,,True,पर्वत-श्रेणी स्तरीय GPS,ISFR/खनन-आंदोलन रिपोर्टिंग (सुप्रसिद्ध)
dharanidhar-keonjhar,"धरणीधर भुइयाँ स्मारक, केओनझर","Dharanidhar Bhuiyan Memorial, Keonjhar",smarak,ओडिशा,केओनझर,21.65,85.6,city-level,1891,1891 के केओनझर विद्रोह के नायक धरणीधर भुइयाँ।,,True,स्मारक-स्थिति जाँच शेष,ओडिशा विद्रोह-साहित्य
chakra-bisoi-ghumsar,चक्रा बिसोई — घुमुसर क्षेत्र,"Chakra Bisoi region, Ghumsar",shahid,ओडिशा,कंधमाल,20.35,84.2,region-level,1855-57,1855-57 घुमुसर विद्रोह के नायक चक्रा बिसोई (कोंध); अंग्रेज़ों के विरुद्ध लड़ाई।,,True,क्षेत्र-स्तरीय GPS,ओडिशा विद्रोह-साहित्य
laxman-naik-berhampur,लक्ष्मण नायक शहीदी स्थल — बरहमपुर जेल,"Laxman Naik Martyrdom Site, Berhampur",shahid,ओडिशा,गंजाम,19.31,84.79,city-level,1943-03-29,29 मार्च 1943 — भूमिआ आदिवासी नेता लक्ष्मण नायक को अंग्रेज़ों ने फाँसी दी (बरहमपुर जेल)।,,True,जेल-स्थल सटीकता शेष,ओडिशा शहीद-साहित्य
mangadh,मांगढ़ धाम — आदिवासी जलियाँवाला,Mangadh Dham,shahid,राजस्थान,डूंगरपुर,23.55,74.12,approximate,1913-11-17,17 नवंबर 1913 — गोविंद गुरु के नेतृत्व में ~1500 भील शहीद (अंग्रेज़ी गोलियाँ); 'आदिवासी जलियाँवाला बाग'।,,True,टीला-स्थल GPS फ़ील्ड-जाँच शेष,"रिसर्च डॉसियर (मांगढ़ 1913, बहु-स्रोत)"
shoolpaneshwar,शूलपाणेश्वर महादेव मंदिर,"Shoolpaneshwar Temple, Narmada",dharmik,गुजरात,नर्मदा,21.6813,73.6754,approximate,,नर्मदा तट पर शिव मंदिर — भील/आदिवासी पट्टी का प्रमुख तीर्थ (रतनमहल क्षेत्र)।,,True,GPS ±300m,गुजरात पर्यटन (सुप्रसिद्ध)
pavagadh,पावागढ़ कालिका माता मंदिर,Pavagadh Kalika Mata Temple,dharmik,गुजरात,पंचमहल,22.4956,73.4894,approximate,,यूनेस्को विश्व-धरोहर (चाम्पानेर-पावागढ़) — भील-बहुल पंचमहल क्षेत्र का शक्तिपीठ।,,True,GPS ±200m,UNESCO/गुजरात पर्यटन (सुप्रसिद्ध)
medaram-jathara,मेदरम — सम्माक्का-सरलम्मा जतारा,Medaram Jathara,dharmik,तेलंगाना,मुलुगु,17.92,80.1,approximate,,एशिया की सबसे बड़ी आदिवासी जतारा — देवी सम्माक्का-सरलम्मा (कोया परंपरा); हर 2 वर्ष।,medaram,False,,रिसर्च डॉसियर (मेदरम जतारा)
keslapur-jathara,केशलापुर जतरा स्थल,Keslapur Jathara,dharmik,तेलंगाना,आदिलाबाद,19.62,78.42,approximate,,गोंड समुदाय-घोषित वार्षिक जतरा (ऐप में 'समुदाय-घोषित तिथि' श्रेणी)।,keslapur,False,,रिसर्च डॉसियर (AGPE 2025)
komaram-bheem-asifabad,कोमरम भीम स्मारक — आसिफाबाद,"Komaram Bheem Memorial, Asifabad",smarak,तेलंगाना,कुमरम भीम आसिफाबाद,19.5933,79.275,approximate,1940,1940 — आसिफाबाद वनों में कोमरम भीम की शहादत (जोड़ेघाट लड़ाई); जिले का नाम उन्हीं पर।,,True,वन-लड़ाई स्थल GPS अनुमानित,रिसर्च डॉसियर (Komaram Bheem)
alluri-koyyuru,अल्लूरी सीताराम राजू शहीदी स्थल — कोय्यूर,"Alluri Sitarama Raju Martyrdom Site, Koyyuru",shahid,आंध्र प्रदेश,अनकापल्ली (विशाखपत्तनम जिला),18.22,82.83,approximate,1924-05-07,7 मई 1924 — राम्पा विद्रोह के नायक को कोय्यूर में फाँसी।,,True,गाँव-स्तरीय GPS जाँच शेष,रिसर्च डॉसियर (Alluri 1924)
alluri-statue-vizag,अल्लूरी सीताराम राजू प्रतिमा — विशाखपत्तनम,"Alluri Statue, Visakhapatnam",smarak,आंध्र प्रदेश,विशाखपत्तनम,17.73,83.34,approximate,,"समुद्र-तट पर विशाल प्रतिमा (2022, PM द्वारा अनावरण)।",,True,सटीक स्थिति जाँच शेष,PIB/मीडिया (2022)
tirot-sing-nongsawlia,उई तिरत सिंग जन्मस्थल — नोंगसोलिया (सोहरा),"U Tirot Sing Birthplace, Nongsawlia",smarak,मेघालय,पूर्व खासी हिल्स,25.28,91.72,approximate,1829-33,1829-33 के खासी विद्रोह के नायक उई तिरत सिंग का जन्म-क्षेत्र (सोहरा/चेरापूंजी पास); 1835 ढाका जेल में निधन।,,True,गाँव-स्तरीय GPS जाँच शेष,मेघालय राज्य-अभिलेख (17 जुलाई शहीद दिवस)
jadonang-imphal,हाइपौ जदोनंग शहीदी स्थल — इंफाल,"Haipou Jadonang Martyrdom Site, Imphal",shahid,मणिपुर,इंफाल पश्चिम,24.8,93.94,city-level,1931-08-29,29 अगस्त 1931 — रानी गैदिनलियू के गुरु जदोनंग को अंग्रेज़ों ने इंफाल में फाँसी दी।,,True,फाँसी-स्थल सटीकता शेष,मणिपुर राज्य-अभिलेख
gaidinliu-nungkao,रानी गैदिनलियू जन्मस्थल — नुंगकाओ,"Rani Gaidinliu Birthplace, Nungkao",smarak,मणिपुर,तामेंगलोंग,24.97,93.53,approximate,1915,1915 — रानी गैदिनलियू का जन्मस्थल (लुआंगकाओ/नुंगकाओ); 'हेरका' आंदोलन।,,True,गाँव-नाम वर्तनी+GPS जाँच शेष,मणिपुर राज्य-अभिलेख
mawphlang-sacred-forest,मावफलंग पवित्र वन (लॉ कीन्तांग),Mawphlang Sacred Forest,dharmik,मेघालय,पूर्व खासी हिल्स,25.28,91.73,approximate,,खासी धर्म का पवित्र वन (Law Kyntang) — शताब्दियों से अछूता 'सैक्रेड ग्रोव'।,,True,GPS ±500m,मेघालय पर्यटन (सुप्रसिद्ध)
nartiang-monoliths,नारटियांग मोनोलिथ,"Nartiang Monoliths, West Jaintia Hills",aitihasik,मेघालय,पश्चिम जयंतिया हिल्स,25.43,92.28,approximate,,विश्व के सबसे ऊँचे खड़े पाषाण-स्तंभों में से — जयंतिया परंपरा।,,True,GPS ±500m,ASI (सुप्रसिद्ध)
