id,name_hi,name_en,gender,tribe_hi,state,district,birth,death,category,tags,first_achievement,medals,awards,verify,verify_note,sources,memorial
tantya-bhil,टांट्या भील (टांट्या मामा),Tantia Bhil,M,भील,मध्य प्रदेश,खंडवा (निमाड़),≈1840s,≈1889 (जबलपुर में फाँसी — वर्ष स्रोतानुसार भिन्न),freedom,shahid,निमाड़ के भील नायक — 'भीलों का रॉबिनहुड',,,True,मृत्यु-वर्ष 1889/1900 स्रोत-भेद,vskbharat (2024) | प्रभात खबर (2025),खंडवा-बुरहानपुर में स्मारक; मराठी फिल्म 'टांट्या' (1980 के दशक)
bhima-nayak,भीमा नायक,Bhima Nayak,M,भील,मध्य प्रदेश,खंडवा/बुरहानपुर (निमाड़),?,19वीं सदी अंत,freedom,shahid,निमाड़ के भील-कोरकू विद्रोह के नेता,,,True,जीवन-विवरण विस्तार हेतु गैजेटियर-स्रोत आवश्यक,vskbharat (2024),निमाड़ क्षेत्र
veer-narayan-singh,वीर नारायण सिंह,Veer Narayan Singh,M,—,छत्तीसगढ़,रायपुर (सोनाखान),?,1857 (फाँसी),freedom,shahid;first,छत्तीसगढ़ के प्रथम शहीद (1856-57),,,True,जनजाति-वर्गीकरण पर विद्वानों में मतभेद,प्रभात खबर (2025),"वीर नारायण सिंह स्मारक, रायपुर"
gunda-dhur,गूंदा धूर,Gunda Dhur,M,मुरिया,छत्तीसगढ़,बस्तर (जगदलपुर क्षेत्र),?,≈1910 के बाद (कैद में),freedom,shahid;gond,भूमकल विद्रोह (1910) के नायक — बस्तर का उलगुलान,,,True,मृत्यु-विवरण अनिश्चित,प्रभात खबर (2025) | बस्तर इतिहास स्रोत,जगदलपुर में प्रतिमा
laxman-naik,लक्ष्मण नायक ('देशनायक'),Laxman Naik,M,—,ओडिशा,कोरापुट (बोरीगुम्मा),1899?,1943-03-29 (फाँसी),freedom,shahid,भारत छोड़ो आंदोलन में फाँसी पाने वाले प्रमुख आदिवासी शहीद,,,True,जनजाति-वर्गीकरण स्रोतों में भिन्न,विकिपीडिया | ओडिशा स्रोत,बोरीगुम्मा स्मारक; ओडिशा विधानसभा में प्रतिमा
chakra-bisoi,चक्रा बिसोई,Chakra Bisoi,M,कंध,ओडिशा,घुमुसर (कंधमाल),?,1850 के दशक (अनिश्चित),freedom,shahid,कंध विद्रोह (1835-50s) के नायक,,,True,मृत्यु-तिथि अस्पष्ट,विकिपीडिया/ओडिशा इतिहास,कंधमाल में स्मारक
dharanidhar-bhuyan,धरणीधर भुइयाँ,Dharanidhar Bhuyan,M,भुइयाँ,ओडिशा,केओंझर,?,1868 के बाद,freedom,shahid,केओंझर विद्रोह (1868) के नायक (रत्न नायक सहयोगी),,,True,अंतिम नियति अनिश्चित,ओडिशा इतिहास स्रोत,केओंझर
govind-guru,गोविंद गुरु,Govind Guru,M,भील,राजस्थान (बाँसवाड़ा) / गुजरात सीमा,मांगढ,≈1850s,≈1931 (सत्यापन),freedom,shahid;icon,17 नवंबर 1913 मांगढ हत्याकांड — भील समागम पर अंग्रेजी गोलीबारी में ≈1500 शहीद,,,True,जन्म-मृत्यु वर्ष सत्यापन,TV9 (2025) | PIB स्मारक रिपोर्ट,मांगढ धाम राष्ट्रीय स्मारक (बाँसवाड़ा)
mangadh-martyrs,मांगढ के ≈1500 अनाम भील शहीद,Mangadh Martyrs,—,भील,राजस्थान,बाँसवाड़ा (मांगढ),,1913-11-17,collective,shahid,17 नवंबर 1913 — भारत के आदिवासी इतिहास का सबसे बड़ा नरसंहार-स्थल,,,False,,PIB/TV9 (2022-25),मांगढ धाम
bhumkal-martyrs,भूमकल के अनाम मुरिया-मड़िया शहीद,Bhumkal Martyrs,—,मुरिया/मड़िया,छत्तीसगढ़,बस्तर,,1910,collective,shahid;gond,भूमकल विद्रोह (1910) में सैकड़ों शहीद,,,False,,बस्तर इतिहास स्रोत,बस्तर स्मारक
alluri-sitarama-raju,अल्लूरी सीताराम राजू,Alluri Sitarama Raju,M,—,आंध्र प्रदेश,अल्लूरी सीताराम राजू जिला (पूर्व विशाखा एजेंसी),1897-07-04,1924-05-07,freedom,shahid;icon,रामपा विद्रोह (1922-24); 'रामपपा'; 150वीं जयंती पर राष्ट्रीय स्मारक,,,True,ST-वर्गीकरण नहीं; आदिवासी-नायक के रूप में समावेश (टिप्पणी सहित),प्रभात खबर (2025) | विकिपीडिया,विशाखापट्नम प्रतिमा; कॉयूर स्मारक
komaram-bheem,कोमरम भीम,Komaram Bheem,M,गोंड,तेलंगाना,कोमरम भीम आसिफाबाद,≈1900,1940,freedom,shahid;icon;gond,'जल-जंगल-जमीन' नारे के जनक; हैदराबाद निजाम व जमींदारों के विरुद्ध गोंड प्रतिरोध,,,False,,प्रभात खबर (2025) | तेलंगाना स्रोत,"कोमरम भीम स्मारक, आसिफाबाद; तेलुगु फिल्म 'कोमरम पुली'? (सत्यापन)"
jadonang,हाइपो जदोनांग,Haipou Jadonang,M,रोंगमेई नागा,मणिपुर,तामेंगलोंग,1905,1931-08-29 (फाँसी),freedom,shahid,'हेरकाचोंदी' (आत्म-शासन) आंदोलन; 1931 में फाँसी,,,False,,विकिपीडिया | स्वादेश न्यूज़,तामेंगलोंग स्मारक
gaidinliu,रानी गाइदिन्ल्यू,Rani Gaidinliu,F,रोंगमेई नागा,मणिपुर/नागालैंड,तामेंगलोंग (जन्म: नुन्गबाँग),1915-01-26,1993-02-17,freedom,women;icon,13 वर्ष की आयु में आंदोलन नेतृत्व; 1932-47 तक कारावास; 'रानी माँ',,पद्म भूषण (1982),False,,विकिपीडिया | डाक विभाग,इम्फाल/कोहिमा स्मारक; ₹ डाक टिकट 2015
tirot-sing,ऊ तिरॉत सिंह,U Tirot Sing,M,खासी,मेघालय,पूर्वी खासी पहाड़ियाँ,≈1802,"1854 (निर्वासन में, ढाका)",freedom,shahid,प्रथम आंग्ल-खासी युद्ध (1829-33) के सेनापति,,,False,,विकिपीडिया,शिलाँग/मावफलंग स्मारक
jhinya-bhil,झिन्या भिल,Jhinya Bhil,M,भील,महाराष्ट्र,कोल्हापुर-सातारा सीमा क्षेत्र,?,1851 (फाँसी),freedom,shahid,मराठी लोक-गाथाओं के अमर भील बागी,,,True,तिथियाँ लोक-परंपरा आधारित,मराठी लोक-स्रोत,कोल्हापुर क्षेत्र
raghuji-bhangare,राघोजी भांगरे,Raghuji Bhangare,M,भील,महाराष्ट्र,अहमदनगर (अकोले तालुका),?,1879 (फाँसी),freedom,shahid,1876-79 के भील विद्रोह के नायक ('राघू'),,,True,जनजाति-वर्गीकरण भिन्न,प्रभात खबर (2025),अकोले क्षेत्र स्मारक
albert-ekka,अल्बर्ट एक्का,Albert Ekka,M,उराँव,झारखंड,गुमला (चैनपुर),1942-12-27,1971-12,military,pvc;shahid,"परमवीर चक्र (मरणोपरांत, 1971) — आदिवासी समुदाय से एकमात्र PVC विजेता",परमवीर चक्र (मरणोपरांत),,False,,गैलंट्री अवॉर्ड्स आधिकारिक सूची | विकिपीडिया,गुमला स्मारक; राँची में प्रतिमा
draupadi-murmu,द्रौपदी मुर्मू,Draupadi Murmu,F,संथाल,ओडिशा,मयूरभंज (उपरबेड़ा),1958-06-20,,governance,first_woman;icon,भारत की प्रथम आदिवासी राष्ट्रपति (2022–); पूर्व राज्यपाल (झारखंड),,"नीलकंठ पुरस्कार? (सत्यापन), अन्य अनेक सम्मान",False,,प्रभात खबर (2025) | राष्ट्रपति भवन वेबसाइट,—
jaipal-singh-munda,जयपाल सिंह मुंडा ('मारंग गोमेके'),Jaipal Singh Munda,M,मुंडा,झारखंड,खूंटी (खुर्पाई/राँची क्षेत्र),1903-01-03,1970-03-20,governance,olympic_gold;icon,1928 एम्स्टर्डम ओलंपिक हॉकी स्वर्ण पदक विजेता टीम के कप्तान; संविधान सभा में 'आदिवासी' शब्द प्रतिष्ठित करने वाले नेता,"ओलंपिक स्वर्ण (1928, कप्तान)",,False,,प्रभात खबर (2025) | ओलंपिक रिकॉर्ड,राँची/खूंटी स्मारक; 'मारंग गोमेके जयपाल सिंह मुंडा' विश्वविद्यालय? (नामांकन सत्यापन)
pa-sangma,पी.ए. संगमा,P. A. Sangma,M,गारो,मेघालय,पश्चिम गारो पहाड़ी (तुरा),1947-09-01,2016-03-04,governance,icon,लोकसभा अध्यक्ष (1996-98); मेघालय के मुख्यमंत्री,,,False,,विकिपीडिया | संसद रिकॉर्ड,तुरा स्मारक
shibu-soren,शिबू सोरेन ('गुरुजी'),Shibu Soren,M,संथाल,झारखंड,दुमका,1934-01-11,2025,governance,icon,झारखंड आंदोलन के 'गुरुजी'; झारखंड के मुख्यमंत्री; JMM संस्थापक-अध्यक्ष,,,False,,प्रभात खबर (2025) | समाचार (2025),दुमका
arjun-munda,अर्जुन मुंडा,Arjun Munda,M,मुंडा,झारखंड,खरसावाँ/सेरायकेला,1968-05-03,,governance,,झारखंड के सबसे युवा मुख्यमंत्री (2003); पूर्व केंद्रीय जनजातीय कार्य मंत्री,,,False,,विकिपीडिया | mtribal.tribal.nic.in,—
kartik-uraon,कार्तिक उराँव,Kartik Oraon,M,उराँव,झारखंड (तत्कालीन बिहार),लोहरदगा,?,≈1981 (सत्यापन),governance,,केंद्रीय मंत्री रहे आदिवासी नेता,,,True,जन्म-मृत्यु व मंत्रालय-विवरण सत्यापन,प्रभात खबर (2025),लोहरदगा
ram-dayal-munda,डॉ. राम दयाल मुंडा,Ram Dayal Munda,M,मुंडा,झारखंड,राँची,1939,2011,education,padma;scholar,मुंडारी भाषा-साहित्य के प्रतिष्ठापक विद्वान; राँची विश्वविद्यालय के कुलपति,,पद्म श्री (वर्ष सत्यापन),True,पद्म-वर्ष सत्यापन (2000 या 1984 स्रोत-भेद),प्रभात खबर (2025) | पद्म पुरस्कार सूची,राँची विवि परिसर
chuni-kotal,चुनी कोटाल,Chuni Kotal,F,लोधा,पश्चिम बंगाल,पश्चिम मेदिनीपुर,≈1965,1993,education,first_woman;tragic,लोधा समुदाय की प्रथम महिला स्नातक,,,True,विवरण स्रोत-आधारित पुष्टि आवश्यक,अकादमिक/सक्रियता-स्रोत,कोलकाता स्मृति-व्याख्यान
sonajharia-sahu,सोनझड़िया साहू,Sonajharia Sahu,F,—,ओडिशा,कलाहांडी/बलांगीर क्षेत्र (सत्यापन),?,,education,first_woman,ओडिशा सरकार के अभियांत्रिकी संस्थान की प्रमुख बनने वाली प्रथम आदिवासी महिला (मीडिया-रिपोर्ट अनुसार),,,True,संपूर्ण प्रविष्टि अतिरिक्त स्रोत-सत्यापन अपेक्षित,मीडिया रिपोर्ट,
jamuna-tudu,जमुना टुडू,Jamuna Tudu,F,संथाल,झारखंड,—,≈1980,,governance,first_woman;ips,झारखंड की प्रथम आदिवासी महिला IPS अधिकारी (मीडिया-रिपोर्ट अनुसार),,,True,जनजाति/कैडर/बैच विवरण सत्यापन,मीडिया रिपोर्ट,
mary-kom,मैरी कॉम,Mary Kom,F,कॉम,मणिपुर,चुराचांदपुर (कांगथेई),1983-03-01,,sports,olympic_medal;asian_gold;cwg_gold;padma_vibhushan;women;icon,ओलंपिक कांस्य (लंदन 2012); 6-बार विश्व मुक्केबाजी चैंपियन; पद्म विभूषण (2020),ओलंपिक कांस्य 2012; एशियाई स्वर्ण 2014; CWG स्वर्ण 2018; विश्व चैंपियनशिप 6 स्वर्ण,पद्म विभूषण 2020; पद्म भूषण 2013; पद्म श्री 2006; खेल रत्न 2009,False,,ओलंपिक रिकॉर्ड | विकिपीडिया | पद्म पुरस्कार सूची,इम्फाल में मैरी कॉम बॉक्सिंग अकादमी
deep-grace-ekka,दीप ग्रेस एक्का,Deep Grace Ekka,F,उराँव,ओडिशा,सुंदरगढ़ (लुलकिडिही),1994-06-03,,sports,olympic_medal;hockey;women,पेरिस 2024 ओलंपिक हॉकी कांस्य पदक विजेता भारतीय महिला टीम की सदस्य (सत्यापन),ओलंपिक कांस्य 2024 (टीम — सत्यापन),,True,पेरिस-2024 स्क्वाड सदस्यता की पुष्टि करें,ओलंपिक रिकॉर्ड (सत्यापन),
dilip-tirkey,दिलीप टिर्की,Dilip Tirkey,M,उराँव,ओडिशा,सुंदरगढ़,1977-11-25,,sports,hockey;captain,भारतीय हॉकी टीम के कप्तान; 400+ अंतर्राष्ट्रीय मैच; 'पेनल्टी कॉर्नर विशेषज्ञ',,अर्जुन पुरस्कार (सत्यापन),True,पुरस्कार-वर्ष सत्यापन,विकिपीडिया | हॉकी इंडिया,
nilam-sanjeep-xess,नीलम संजीप खैस,Nilam Sanjeep Xess,F,—,ओडिशा,सुंदरगढ़/केओंझर (सत्यापन),≈2000,,sports,olympic_medal;hockey;women,पेरिस 2024 ओलंपिक हॉकी कांस्य टीम की सदस्य (सत्यापन),ओलंपिक कांस्य 2024 (सत्यापन),,True,स्क्वाड-सदस्यता व जनजाति-विवरण पुष्टि आवश्यक,हॉकी इंडिया (सत्यापन),
limba-ram,लिम्बा राम,Limba Ram,M,भील,राजस्थान/मध्य प्रदेश सीमा क्षेत्र (सत्यापन),—,≈1972,,sports,archery,अर्जुन पुरस्कार (तीरंदाजी); पतंग पर निशाना लगा देने वाली किंवदंती,,अर्जुन पुरस्कार (वर्ष सत्यापन),True,जनजाति/राज्य/पुरस्कार-वर्ष सत्यापन,मीडिया रिपोर्ट,
jangarh-singh-shyam,जंगारह सिंह श्याम,Jangarh Singh Shyam,M,पर्धान गोंड,मध्य प्रदेश,डिंडोरी/पटनागढ़ क्षेत्र,≈1962,2001,art,gond;first,अंतर्राष्ट्रीय ख्याति प्राप्त प्रथम गोंड चित्रकार — 'जंगारह कला-शैली' के जनक,,,True,जन्मस्थान/तिथि विवरण स्रोतानुसार भिन्न,गोंड आर्ट साहित्य | Caravan (2019),भोपाल/पटनागढ़ में कला-स्मृति
bhajju-shyam,भज्जू श्याम,Bhajju Shyam,M,पर्धान गोंड,मध्य प्रदेश,भोपाल (मूल: डिंडोरी क्षेत्र),≈1971,,art,gond;padma,पद्म श्री (2018); 'द लंडन जंगल बुक' — गोंड कला को विश्व-मंच तक ले जाने वाले अग्रणी,,पद्म श्री 2018,False,,पद्म पुरस्कार सूची | गोंड आर्ट साहित्य,
durga-bai-vyam,दुर्गा बाई व्याम,Durga Bai Vyam,F,पर्धान गोंड,मध्य प्रदेश,भोपाल (मूल: डिंडोरी),≈1973,,art,gond;padma;women,पद्म श्री (2022); गोंड चित्रकला की प्रमुख महिला हस्ताक्षर,,पद्म श्री 2022,False,,पद्म पुरस्कार सूची 2022,
subhash-vyam,सुभाष व्याम,Subhash Vyam,M,पर्धान गोंड,मध्य प्रदेश,भोपाल (मूल: डिंडोरी),?,,art,gond;padma,"पद्म श्री (2022, दुर्गा बाई व्याम सहित)",,पद्म श्री 2022,False,,पद्म पुरस्कार सूची 2022,
venkat-raman-singh,वेंकट रमन सिंह (गोंड कलाकार),Venkat Raman Singh,M,पर्धान गोंड,मध्य प्रदेश,भोपाल,≈1971,,art,gond;padma,पद्म श्री (2022); गोंड चित्रकला के अंतर्राष्ट्रीय हस्ताक्षर,,पद्म श्री 2022,False,,पद्म पुरस्कार सूची 2022,
jivya-soma-mashe,जीव्या सोमा माशे,Jivya Soma Mashe,M,वारली,महाराष्ट्र,पालघर (दहानु),≈1934,2020,art,warli;padma,वारली चित्रकला को अनुष्ठान-दीवारों से कैनवास तक लाने वाले 'आधुनिक वारली कला के जनक'; पद्म श्री,,पद्म श्री (वर्ष सत्यापन),True,पद्म-वर्ष स्रोतों में भिन्न,कला-स्रोत | पद्म सूची,
bhuri-bai,भूरी बाई,Bhuri Bai,F,भील,मध्य प्रदेश,झाबुआ,≈1956,,art,bhil;padma;women,पद्म श्री (2021); भील कला की अग्रणी महिला चित्रकार,,पद्म श्री 2021,False,,पद्म पुरस्कार सूची 2021,
raghunath-murmu,पंडित रघुनाथ मुर्मू,Raghunath Murmu,M,संथाल,ओडिशा,मयूरभंज (रायरंगपुर क्षेत्र),1905-05-05,1982-02-01,language,script_creator;icon,ओल चिकि लिपि के आविष्कारक (1925) — संथाली भाषा की अपनी लिपि,,ओडिशा साहित्य अकादमी? (सत्यापन); 'गुरु गोमके' उपाधि,False,,विकिपीडिया | संथाली साहित्य स्रोत,रायरंगपुर स्मारक; अनेक संस्थाओं के नाम
masram,मुंशी मंगल सिंह मसराम,Munshi Mangal Singh Masram,M,गोंड,मध्य प्रदेश,बालाघाट (कोचेवाड़ा),≈1890s,?,language,script_creator;gond;icon,मसराम गोंडी लिपि के रचयिता (1918); 'गोंड सभ्यता दर्पण' (1928) के लेखक,,,True,जन्म-मृत्यु तिथियाँ अस्पष्ट — कोचेवाड़ा में फील्ड-सत्यापन सूची में,L2/15-090R | Caravan (2019) | शोध-डोसियर §3,कोचेवाड़ा स्मारक (प्रस्तावित); मसराम स्मृति दिवस तिथि फील्ड-कार्य
bhavsinh-masram,भावसिंह मसराम,Bhavsinh Masram,M,गोंड,मध्य प्रदेश,बालाघाट,?,?,language,gond,'आदिवासी गोंडी लिपि बोध' 4 खंड (1957) के प्रकाशक — पिता की विरासत के वाहक,,,True,जीवन-तिथियाँ अस्पष्ट,L2/15-090R | शोध-डोसियर §3,
hari-marwai,हरि मरावी,Hari Marawai,M,गोंड,मध्य प्रदेश,इंदौर,?,,language,gond,"1999 से प्रथम गोंडी कैलेंडर प्रकाशक — 30,000+ प्रतियाँ/वर्ष",,,False,,Hindustan Times (इंदौर),
ruby-hembrom,रुबी हेम्ब्रम,Ruby Hembrom,F,संथाल,पश्चिम बंगाल,कोलकाता,?,,literature,women;publisher,'आदिवाणी' प्रकाशन की संस्थापक — आदिवासी लेखन-अभिलेखन की अग्रणी,,,True,जीवन-विवरण संक्षिप्त; विस्तार सत्यापन,आदिवाणी वेबसाइट,
nirmala-putul,निर्मला पुतुल,Nirmala Putul,F,संथाल,झारखंड,पश्चिमी सिंहभूम (चाईबासा क्षेत्र — सत्यापन),≈1981,,literature,women;poet,संथाली की चर्चित कवयित्री — 'सुपारी' आदि संग्रह; पद्म-नामांकन अभियान से ख्यात,,,True,जन्म-स्थान सत्यापन,साहित्यिक मीडिया,
maina-tudu,मइना टुडू,Maina Tudu,F,संथाल,ओडिशा,मयूरभंज/बारीपदा क्षेत्र (सत्यापन),≈1985,,literature,women;poet,संथाली-ओडिया लेखिका; साहित्य अकादमी युवा पुरस्कार (सत्यापन),,साहित्य अकादमी युवा पुरस्कार (सत्यापन),True,पुरस्कार/जन्म-विवरण सत्यापन,साहित्यिक स्रोत,
